21:36:05 - Starting servent [9|localhost|1600]
21:36:05 - Backups cleaned
21:36:05 - Pausing for 10000 ms
21:36:06 - Sending message [9|1600|0||NEW_NODE|1400|57]
21:36:09 - Got message [17|1200|13||WELCOME|1600|9]
21:36:10 - Sending message [9|1600|2||UPDATE|1200|17]
21:36:11 - Sending message [9|1600|1|ping|PING|1200|17]
21:36:12 - Got message [17|1200|16|pong|PING|1600|9]
21:36:14 - Got message [9|1600|11|1200,1100,1400,1300|UPDATE|1600|9]
21:36:15 - Pausing for 4000 ms
21:36:18 - Got message [62|1300|12|ping|PING|1600|9]
21:36:19 - Pausing for 6000 ms
21:36:19 - Sending message [9|1600|3|pong|PING|1300|62]
21:36:21 - Sending message [9|1600|4|ping|PING|1200|17]
21:36:21 - Got message [17|1200|18|pong|PING|1600|9]
21:36:25 - Pausing for 10000000 ms
21:36:27 - Got message [62|1300|14|ping|PING|1600|9]
21:36:28 - Sending message [9|1600|5|pong|PING|1300|62]
21:36:30 - Sending message [9|1600|6|ping|PING|1200|17]
21:36:32 - Got message [17|1200|20|pong|PING|1600|9]
21:36:37 - Got message [62|1300|16|ping|PING|1600|9]
21:36:38 - Sending message [9|1600|7|pong|PING|1300|62]
21:36:40 - Sending message [9|1600|8|ping|PING|1200|17]
21:36:40 - Got message [17|1200|22|pong|PING|1600|9]
21:36:47 - Got message [62|1300|18|ping|PING|1600|9]
21:36:48 - Sending message [9|1600|9|pong|PING|1300|62]
21:36:50 - Sending message [9|1600|10|ping|PING|1200|17]
21:36:51 - Got message [17|1200|24|pong|PING|1600|9]
21:36:58 - Got message [62|1300|20|ping|PING|1600|9]
21:36:59 - Sending message [9|1600|11|pong|PING|1300|62]
21:37:00 - Sending message [9|1600|12|ping|PING|1200|17]
21:37:01 - Got message [17|1200|26|pong|PING|1600|9]
21:37:07 - Got message [62|1300|22|ping|PING|1600|9]
21:37:08 - Sending message [9|1600|13|pong|PING|1300|62]
21:37:10 - Sending message [9|1600|14|ping|PING|1200|17]
21:37:11 - Got message [17|1200|28|pong|PING|1600|9]
21:37:17 - Got message [62|1300|24|ping|PING|1600|9]
21:37:18 - Sending message [9|1600|15|pong|PING|1300|62]
21:37:20 - Sending message [9|1600|16|ping|PING|1200|17]
21:37:21 - Got message [17|1200|30|pong|PING|1600|9]
21:37:27 - Got message [62|1300|26|ping|PING|1600|9]
21:37:29 - Sending message [9|1600|17|pong|PING|1300|62]
21:37:30 - Sending message [9|1600|18|ping|PING|1200|17]
21:37:31 - Got message [17|1200|32|pong|PING|1600|9]
21:37:38 - Got message [62|1300|28|ping|PING|1600|9]
21:37:39 - Sending message [9|1600|19|pong|PING|1300|62]
21:37:41 - Sending message [9|1600|20|ping|PING|1200|17]
21:37:42 - Got message [17|1200|34|pong|PING|1600|9]
21:37:48 - Got message [62|1300|30|ping|PING|1600|9]
21:37:49 - Sending message [9|1600|21|pong|PING|1300|62]
21:37:50 - Sending message [9|1600|22|ping|PING|1200|17]
21:37:52 - Got message [17|1200|36|pong|PING|1600|9]
21:37:58 - Got message [62|1300|32|ping|PING|1600|9]
21:37:59 - Sending message [9|1600|23|pong|PING|1300|62]
21:38:01 - Sending message [9|1600|24|ping|PING|1200|17]
21:38:02 - Got message [17|1200|38|pong|PING|1600|9]
21:38:08 - Got message [62|1300|34|ping|PING|1600|9]
21:38:09 - Sending message [9|1600|25|pong|PING|1300|62]
21:38:11 - Sending message [9|1600|26|ping|PING|1200|17]
21:38:11 - Got message [17|1200|40|pong|PING|1600|9]
21:38:17 - Got message [62|1300|36|ping|PING|1600|9]
21:38:18 - Sending message [9|1600|27|pong|PING|1300|62]
21:38:20 - Sending message [9|1600|28|ping|PING|1200|17]
21:38:21 - Got message [17|1200|42|pong|PING|1600|9]
21:38:28 - Got message [62|1300|38|ping|PING|1600|9]
21:38:29 - Sending message [9|1600|29|pong|PING|1300|62]
21:38:30 - Sending message [9|1600|30|ping|PING|1200|17]
21:38:31 - Got message [17|1200|44|pong|PING|1600|9]
21:38:38 - Got message [62|1300|40|ping|PING|1600|9]
21:38:40 - Sending message [9|1600|31|pong|PING|1300|62]
21:38:40 - Sending message [9|1600|32|ping|PING|1200|17]
21:38:41 - Got message [17|1200|46|pong|PING|1600|9]
21:38:47 - Got message [62|1300|42|ping|PING|1600|9]
21:38:49 - Sending message [9|1600|33|pong|PING|1300|62]
21:38:50 - Sending message [9|1600|34|ping|PING|1200|17]
21:38:51 - Got message [17|1200|48|pong|PING|1600|9]
21:38:58 - Got message [62|1300|44|ping|PING|1600|9]
21:38:59 - Sending message [9|1600|35|pong|PING|1300|62]
21:39:01 - Sending message [9|1600|36|ping|PING|1200|17]
21:39:01 - Got message [17|1200|50|pong|PING|1600|9]
21:39:08 - Got message [62|1300|46|ping|PING|1600|9]
21:39:09 - Sending message [9|1600|37|pong|PING|1300|62]
21:39:10 - Sending message [9|1600|38|ping|PING|1200|17]
21:39:11 - Got message [17|1200|52|pong|PING|1600|9]
21:39:18 - Got message [62|1300|48|ping|PING|1600|9]
21:39:19 - Sending message [9|1600|39|pong|PING|1300|62]
21:39:21 - Sending message [9|1600|40|ping|PING|1200|17]
21:39:21 - Got message [17|1200|54|pong|PING|1600|9]
21:39:27 - Got message [62|1300|50|ping|PING|1600|9]
21:39:28 - Sending message [9|1600|41|pong|PING|1300|62]
21:39:30 - Sending message [9|1600|42|ping|PING|1200|17]
21:39:31 - Got message [17|1200|56|pong|PING|1600|9]
21:39:38 - Got message [62|1300|52|ping|PING|1600|9]
21:39:39 - Sending message [9|1600|43|pong|PING|1300|62]
21:39:40 - Sending message [9|1600|44|ping|PING|1200|17]
21:39:41 - Got message [17|1200|58|pong|PING|1600|9]
21:39:47 - Got message [62|1300|54|ping|PING|1600|9]
21:39:48 - Sending message [9|1600|45|pong|PING|1300|62]
21:39:50 - Sending message [9|1600|46|ping|PING|1200|17]
21:39:51 - Got message [17|1200|60|pong|PING|1600|9]
21:39:58 - Got message [62|1300|56|ping|PING|1600|9]
21:39:59 - Sending message [9|1600|47|pong|PING|1300|62]
21:40:00 - Sending message [9|1600|48|ping|PING|1200|17]
21:40:01 - Got message [17|1200|62|pong|PING|1600|9]
21:40:08 - Got message [62|1300|58|ping|PING|1600|9]
21:40:09 - Sending message [9|1600|49|pong|PING|1300|62]
21:40:11 - Sending message [9|1600|50|ping|PING|1200|17]
21:40:11 - Got message [17|1200|64|pong|PING|1600|9]
21:40:18 - Got message [62|1300|60|ping|PING|1600|9]
21:40:18 - Sending message [9|1600|51|pong|PING|1300|62]
21:40:20 - Sending message [9|1600|52|ping|PING|1200|17]
21:40:21 - Got message [17|1200|66|pong|PING|1600|9]
21:40:28 - Got message [62|1300|62|ping|PING|1600|9]
21:40:29 - Sending message [9|1600|53|pong|PING|1300|62]
21:40:30 - Sending message [9|1600|54|ping|PING|1200|17]
21:40:32 - Got message [17|1200|68|pong|PING|1600|9]
21:40:38 - Got message [62|1300|64|ping|PING|1600|9]
21:40:38 - Sending message [9|1600|55|pong|PING|1300|62]
21:40:40 - Sending message [9|1600|56|ping|PING|1200|17]
